State,Year,ASC1_Measure_State_Rate,ASC2_Measure_State_Rate,ASC3_Measure_State_Rate,ASC4_Measure_State_Rate,ASC5_Measure_State_Rate,ASC_6_State_PCT,Avg_ASC_7_State,Avg_Gastrointestinal_State,Avg_Eye_State,Avg_Genitourinary_State,Avg_Multi_System_State,Avg_Musculoskeletal_State,Avg_Nervous_System_State,Avg_Respiratory_State,Avg_Skin_State,Avg_ASC_8_State_Rate,Avg_ASC_9_State_Rate,Avg_ASC_10_State_Rate,Median_ASC_7_State,Median_Gastrointestinal_State,Median_Eye_State,Median_Genitourinary_State,Median_Multi_System_State,Median_Musculoskeletal_State,Median_Nervous_System_State,Median_Respiratory_State,Median_Skin_State,Median_ASC_8_State_Rate,Median_ASC_9_State_Rate,Median_ASC_10_State_Rate
AK,2014,0.315,0.315,0.158,0.158,928.57,100.0,2352,1863,858,35,0,715,1180,389,25,67.16,86.83,89.99,2209,1970,487,35,0,698,1164,389,15,62.93,97.16,96.15
AL,2014,0.096,0.128,0.021,0.533,981.24,100.0,7623,3738,2249,156,254,1155,2550,446,162,67.97,62.05,68.76,6215,3128,1486,33,57,834,1877,230,45,69.59,62.28,75.00
AR,2014,0.345,0.091,0.013,0.540,953.95,100.0,3295,3796,1441,95,1482,1055,875,181,134,78.67,60.87,77.80,2469,2954,1019,5,930,644,490,167,12,81.25,67.11,83.78
AZ,2014,0.231,0.082,0.021,0.436,955.54,98.44,3732,4211,1808,170,224,649,2117,483,101,64.31,87.25,85.11,2451,2741,1211,107,9,524,542,121,29,66.67,95.00,100.0
CA,2014,0.326,0.070,0.016,0.347,950.92,100.0,3541,2865,1227,179,666,658,1556,160,144,72.95,73.43,75.96,2521,1703,832,54,44,404,922,65,15,80.49,84.19,88.00
CO,2014,1.033,0.073,0.017,0.358,941.97,100.0,4108,2732,1290,328,499,946,2040,228,49,94.79,84.68,78.75,3711,1818,555,67,10,485,1383,169,9,96.15,95.24,88.89
CT,2014,0.991,0.077,0.017,0.368,944.44,100.0,4920,5267,1853,423,107,1045,1313,376,20,78.06,82.46,71.82,3972,5888,1844,80,107,1058,1332,415,13,81.15,94.79,95.77
DC,2014,0.989,0.076,0.017,0.370,944.45,100.0,3948,3134,264,25,0,171,1163,0,5,74.75,100.0,100.0,3948,3134,264,25,0,171,1163,0,5,74.75,100.0,100.0
DE,2014,0.962,0.082,0.016,0.381,945.27,100.0,4318,3309,1465,391,7,967,1879,53,432,70.77,83.95,87.63,3363,1932,1524,146,7,521,1649,43,146,76.00,95.83,91.68
FL,2014,0.649,0.080,0.024,0.419,958.13,100.0,4913,4047,1894,456,126,810,1676,158,97,59.48,76.05,80.60,3688,2824,978,99,18,448,777,79,33,60.94,85.68,93.22
GA,2014,0.619,0.084,0.023,0.418,960.96,99.60,2737,3289,1768,1014,80,887,1783,346,254,74.97,75.59,69.94,1977,2425,1535,613,79,542,1005,200,15,80.00,85.02,83.41
GU,2014,0.619,0.084,0.023,0.418,960.84,100.0,1463,505,838,10,0,100,1,4,5,32.81,1.04,0.00,1463,505,838,10,0,100,1,4,5,32.81,1.04,0.00
HI,2014,0.616,0.083,0.023,0.417,960.87,100.0,4315,4645,2019,2,8,408,684,40,19,65.10,73.80,84.24,3678,3797,1684,2,8,325,133,40,9,63.70,80.80,91.12
IA,2014,0.607,0.083,0.023,0.417,961.72,100.0,4897,3266,1692,267,0,977,768,278,45,86.46,95.00,96.50,4155,2323,1489,272,0,824,762,134,29,90.17,97.92,96.88
ID,2014,0.597,0.086,0.023,0.417,962.09,100.0,2413,1934,1248,439,227,533,889,122,22,76.94,79.05,81.91,1975,482,619,17,227,375,272,119,17,77.27,92.31,90.48
IL,2014,0.565,0.086,0.021,0.412,963.34,100.0,4177,2495,1404,280,506,1308,1132,131,100,74.98,84.67,84.99,2702,864,1085,41,81,526,481,59,30,80.00,92.15,95.71
IN,2014,0.547,0.086,0.024,0.422,965.23,100.0,3199,2135,1645,254,320,741,1455,222,69,80.63,80.96,83.47,2274,808,925,128,84,342,634,87,20,86.67,92.59,93.66
KS,2014,0.538,0.085,0.024,0.430,966.12,98.18,3137,2353,1347,119,284,648,832,242,250,82.62,90.41,80.44,2669,1821,577,12,263,400,509,134,65,87.93,100.0,95.89
KY,2014,0.532,0.087,0.023,0.433,966.52,100.0,6489,4376,2193,867,2184,1096,2158,182,124,72.95,84.75,86.37,6095,3892,2158,226,2184,311,272,32,15,75.09,96.88,94.95
LA,2014,0.514,0.087,0.023,0.435,967.08,97.37,4288,3492,1380,409,562,463,2811,115,60,68.85,78.20,80.56,3242,1376,881,51,7,290,1068,48,9,70.31,94.17,95.46
MA,2014,0.504,0.089,0.022,0.436,967.18,97.96,4252,5048,2797,203,719,838,1499,91,94,81.73,87.96,86.93,3977,5423,2388,180,719,364,1213,91,20,86.77,96.75,96.08
MD,2014,0.486,0.093,0.024,0.436,967.69,100.0,2880,3927,1253,1270,1976,548,1596,168,199,81.66,81.58,88.64,2038,2836,921,627,365,231,1209,53,18,87.23,97.92,100.0
ME,2014,0.488,0.093,0.025,0.434,967.65,100.0,2347,7476,1838,14,0,818,415,22,131,70.47,80.02,92.86,2448,7476,2442,14,0,801,344,22,106,69.93,80.02,92.86
MI,2014,0.471,0.095,0.024,0.438,968.05,100.0,4866,3854,2002,397,84,918,1481,156,176,73.87,79.93,74.52,4041,2013,1552,173,37,496,608,145,27,78.90,87.76,88.59
MN,2014,0.469,0.099,0.027,0.438,968.25,100.0,4266,4398,1341,128,725,1098,1153,218,40,75.20,88.05,90.40,2571,956,1040,40,669,429,279,86,12,80.17,96.88,100.0
MO,2014,0.458,0.097,0.027,0.437,968.61,98.85,3188,2480,1457,232,453,785,770,204,181,74.97,92.42,89.15,2499,1450,1024,128,142,416,236,94,19,81.25,98.15,93.65
MS,2014,0.446,0.099,0.026,0.436,969.22,100.0,3958,3107,1242,511,503,742,2864,275,438,71.44,76.39,86.52,3560,2740,751,46,503,436,2085,88,62,79.29,91.09,93.05
MT,2014,0.444,0.099,0.026,0.438,969.43,100.0,2281,656,835,34,0,730,1118,235,6,80.79,97.11,86.23,1809,352,783,21,0,669,439,143,5,83.64,97.19,99.49
NC,2014,0.434,0.098,0.026,0.447,959.70,100.0,4766,3929,2123,146,413,1328,1132,417,47,83.88,88.25,88.18,4258,2957,1749,99,392,1119,705,273,23,87.50,96.05,95.01
ND,2014,0.441,0.098,0.026,0.446,959.78,100.0,2448,1843,1070,0,0,424,615,10,9,79.76,73.51,90.69,1930,496,650,0,0,9,20,10,9,90.03,73.44,93.75
NE,2014,0.439,0.098,0.025,0.447,960.14,100.0,3032,2628,1045,1096,671,637,748,261,28,82.96,77.20,70.00,2294,752,598,251,525,178,807,50,11,89.47,96.99,77.06
NH,2014,0.437,0.097,0.025,0.447,960.25,100.0,2750,2342,1081,215,0,821,728,121,27,86.06,85.97,78.47,2005,967,765,87,0,536,511,94,24,88.61,92.86,88.51
NJ,2014,0.451,0.098,0.025,0.449,960.97,100.0,4005,3560,1534,604,225,574,1553,156,90,66.08,63.60,71.84,3094,2477,731,272,94,341,1074,66,16,70.00,66.67,84.88
NM,2014,0.448,0.098,0.025,0.446,961.12,100.0,3838,4443,927,48,138,1049,2494,71,33,60.96,96.39,87.12,2433,3406,748,48,138,625,610,100,25,63.64,97.40,98.75
NV,2014,0.445,0.097,0.025,0.445,961.76,97.92,4289,3330,1480,73,378,797,2618,344,27,61.08,73.90,78.02,3964,2651,680,5,378,409,1498,245,11,60.42,83.33,89.76
NY,2014,0.432,0.097,0.025,0.441,962.18,100.0,6439,5776,2869,315,329,1284,2554,233,173,85.32,63.45,61.82,4997,4009,1456,46,245,730,1068,92,34,90.57,79.27,63.43
OH,2014,0.422,0.095,0.025,0.443,961.31,100.0,3777,3669,1789,953,365,798,1416,236,108,72.25,81.42,83.99,2917,2687,1337,264,98,370,876,77,37,76.92,90.28,92.84
OK,2014,0.435,0.097,0.025,0.443,961.46,100.0,4339,3470,2594,1178,24,638,1714,82,106,80.68,69.39,66.23,4024,1161,1273,555,24,233,1072,65,27,88.36,76.21,71.87
