Incentive Payment Range,Number of Hospitals Receiving this Range
">$1,000,000",190
"$950,001 to $1,000,000",22
"$900,001 to $950,000",27
"$850,001 to $900,000",33
"$800,001 to $850,000",35
"$750,001 to $800,000",47
"$700,001 to $750,000",49
"$650,001 to $700,000",56
"$600,001 to $650,000",49
"$550,001 to $600,000",81
"$500,001 to $550,000",93
"$450,001 to $500,000",80
"$400,001 to $450,000",118
"$350,001 to $400,000",122
"$300,001 to $350,000",154
"$250,001 to $300,000",180
"$200,001 to $250,000",171
"$150,001 to $200,000",269
"$100,001 to $150,000",266
"$50,001 to $100,000",362
"$1 to $50,000",319
$0 to $0,0
,
"Maximum Value Based Incentive Payment Amount: $6,602,347.40",
Number of Hospitals Receiving the Maximum Value Based Incentive Payment in FY 2014: 1,
