STATE_CODE,RPTG_PRD_START_DT,RPTG_PRD_END_DT,FLUVAC_STATE_NUM,FLUVAC_STATE_DEN,FLUVAC_STATE_ADHPCT,FLUVAC_STATE_ADHPCT_CI_LOWER,FLUVAC_STATE_ADHPCT_CI_UPPER
AK,10012015,03312016,10338,16541,62,62,63
AL,10012015,03312016,88905,114867,77,77,78
AR,10012015,03312016,68174,80017,85,85,85
AS,10012015,03312016,,,,,
AZ,10012015,03312016,122741,141108,87,87,87
CA,10012015,03312016,668769,812651,82,82,82
CO,10012015,03312016,120223,123639,97,97,97
CT,10012015,03312016,83183,94549,88,88,88
DC,10012015,03312016,31656,33140,96,95,96
DE,10012015,03312016,29062,31587,92,92,92
FL,10012015,03312016,367985,478625,77,77,77
GA,10012015,03312016,189090,214220,88,88,88
GU,10012015,03312016,851,1232,69,66,72
HI,10012015,03312016,19151,24512,78,78,79
IA,10012015,03312016,98715,107568,92,92,92
ID,10012015,03312016,36199,40332,90,89,90
IL,10012015,03312016,304740,350536,87,87,87
IN,10012015,03312016,176323,197565,89,89,89
KS,10012015,03312016,72850,76747,95,95,95
KY,10012015,03312016,104586,123358,85,85,85
LA,10012015,03312016,108818,131872,83,82,83
MA,10012015,03312016,231154,254874,91,91,91
MD,10012015,03312016,129799,134685,96,96,96
ME,10012015,03312016,36240,43049,84,84,85
MI,10012015,03312016,258943,292559,89,88,89
MN,10012015,03312016,125915,159131,79,79,79
MO,10012015,03312016,177896,194854,91,91,91
MP,10012015,03312016,,,,,
MS,10012015,03312016,66850,82388,81,81,81
MT,10012015,03312016,23882,28699,83,83,84
NC,10012015,03312016,234095,246244,95,95,95
ND,10012015,03312016,28151,31182,90,90,91
NE,10012015,03312016,53127,57129,93,93,93
NH,10012015,03312016,41082,43777,94,94,94
NJ,10012015,03312016,170427,209737,81,81,81
NM,10012015,03312016,38624,45687,85,84,85
NV,10012015,03312016,39333,50774,77,77,78
NY,10012015,03312016,472325,564012,84,84,84
OH,10012015,03312016,304639,368019,83,83,83
OK,10012015,03312016,84006,94682,89,89,89
OR,10012015,03312016,72155,92089,78,78,79
PA,10012015,03312016,345980,382648,90,90,91
PR,10012015,03312016,1141,2269,50,48,52
RI,10012015,03312016,32768,35426,92,92,93
SC,10012015,03312016,106831,120112,89,89,89
SD,10012015,03312016,30319,32011,95,94,95
TN,10012015,03312016,163072,186131,88,87,88
TX,10012015,03312016,459578,529511,87,87,87
UT,10012015,03312016,64128,66685,96,96,96
VA,10012015,03312016,142812,165374,86,86,87
VI,10012015,03312016,,,,,
VT,10012015,03312016,15421,19988,77,77,78
WA,10012015,03312016,153364,172694,89,89,89
WI,10012015,03312016,175179,185812,94,94,94
WV,10012015,03312016,55377,63989,87,86,87
WY,10012015,03312016,12381,13983,89,88,89
