"Hospital_Name","PROVIDER ID","State","Fiscal Year","Domain_1_Score","Domain_1_Score_Footnote","Domain_1_Start_Date","Domain_1_End_Date","AHRQ_PSI_90_Score","AHRQ_PSI_90_Score_Footnote","Domain_2_Score","Domain_2_Score_Footnote","CLABSI_Score","CLABSI_Score_Footnote","CAUTI_Score","CAUTI_Score_Footnote","SSI_Score","SSI_Score_Footnote","Domain_2_Start_Date","Domain_2_End_Date","TOTAL_HAC_SCORE","Total_HAC_Score_Footnote"
SOUTHEAST ALABAMA MEDICAL CENTER,010001,AL,2016,1.0000,,07012012,06302014,1.0000,,8.0000,,10,,10,,4,,01012013,12312014,6.2500,
MARSHALL MEDICAL CENTERS,010005,AL,2016,3.0000,,07012012,06302014,3.0000,,5.3333,,10,,3,,3,,01012013,12312014,4.7500,
ELIZA COFFEE MEMORIAL HOSPITAL,010006,AL,2016,7.0000,,07012012,06302014,7.0000,,6.0000,,5,,3,,10,,01012013,12312014,6.2500,
MIZELL MEMORIAL HOSPITAL,010007,AL,2016,3.0000,,07012012,06302014,3.0000,,1.0000,,N/A,,1,,N/A,,01012013,12312014,1.5000,
CRENSHAW COMMUNITY HOSPITAL,010008,AL,2016,6.0000,,07012012,06302014,6.0000,,N/A,,N/A,,N/A,,N/A,,01012013,12312014,6.0000,
ST. VINCENT'S EAST,010011,AL,2016,4.0000,,07012012,06302014,4.0000,,5.3333,,8,,4,,4,,01012013,12312014,5.0000,
DEKALB REGIONAL MEDICAL CENTER,010012,AL,2016,9.0000,,07012012,06302014,9.0000,,4.5000,,N/A,,1,,8,,01012013,12312014,5.6250,
SHELBY BAPTIST MEDICAL CENTER,010016,AL,2016,2.0000,,07012012,06302014,2.0000,,3.3333,,4,,3,,3,,01012013,12312014,3.0000,
CALLAHAN EYE HOSPITAL,010018,AL,2016,6.0000,,07012012,06302014,6.0000,,N/A,,N/A,,N/A,,N/A,,01012013,12312014,6.0000,
HELEN KELLER HOSPITAL,010019,AL,2016,5.0000,,07012012,06302014,5.0000,,1.6667,,1,,1,,3,,01012013,12312014,2.5000,
DALE MEDICAL CENTER,010021,AL,2016,9.0000,,07012012,06302014,9.0000,,4.0000,,N/A,,4,,N/A,,01012013,12312014,5.2500,
CHEROKEE MEDICAL CENTER,010022,AL,2016,6.0000,,07012012,06302014,6.0000,,N/A,,N/A,,N/A,,N/A,,01012013,12312014,6.0000,
BAPTIST MEDICAL CENTER SOUTH,010023,AL,2016,1.0000,,07012012,06302014,1.0000,,4.6667,,6,,5,,3,,01012013,12312014,3.7500,
JACKSON HOSPITAL & CLINIC INC,010024,AL,2016,4.0000,,07012012,06302014,4.0000,,6.6667,,8,,8,,4,,01012013,12312014,6.0000,
EAST ALABAMA MEDICAL CENTER AND SNF,010029,AL,2016,4.0000,,07012012,06302014,4.0000,,7.0000,,10,,8,,3,,01012013,12312014,6.2500,
WEDOWEE HOSPITAL,010032,AL,2016,5.0000,,07012012,06302014,5.0000,,N/A,,N/A,,N/A,,N/A,,01012013,12312014,5.0000,
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,2016,6.0000,,07012012,06302014,6.0000,,7.0000,,8,,9,,4,,01012013,12312014,6.7500,
COMMUNITY HOSPITAL INC,010034,AL,2016,5.0000,,07012012,06302014,5.0000,,1.0000,,N/A,,1,,N/A,,01012013,12312014,2.0000,
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,2016,1.0000,,07012012,06302014,1.0000,,3.0000,,1,,3,,5,,01012013,12312014,2.5000,
ANDALUSIA REGIONAL HOSPITAL,010036,AL,2016,7.0000,,07012012,06302014,7.0000,,2.0000,,N/A,,3,,1,,01012013,12312014,3.2500,
STRINGFELLOW MEMORIAL HOSPITAL,010038,AL,2016,6.0000,,07012012,06302014,6.0000,,5.5000,,N/A,,10,,1,,01012013,12312014,5.6250,
HUNTSVILLE HOSPITAL,010039,AL,2016,5.0000,,07012012,06302014,5.0000,,7.0000,,9,,6,,6,,01012013,12312014,6.5000,
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,2016,10.0000,,07012012,06302014,10.0000,,2.0000,,3,,2,,1,,01012013,12312014,4.0000,
MARION REGIONAL MEDICAL CENTER,010044,AL,2016,5.0000,,07012012,06302014,5.0000,,N/A,,N/A,,N/A,,N/A,,01012013,12312014,5.0000,
FAYETTE MEDICAL CENTER,010045,AL,2016,3.0000,,07012012,06302014,3.0000,,N/A,,N/A,,N/A,,N/A,,01012013,12312014,3.0000,
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,2016,1.0000,,07012012,06302014,1.0000,,6.3333,,10,,8,,1,,01012013,12312014,5.0000,
GEORGIANA MEDICAL CENTER,010047,AL,2016,6.0000,,07012012,06302014,6.0000,,N/A,,N/A,,N/A,,N/A,,01012013,12312014,6.0000,
MEDICAL CENTER ENTERPRISE,010049,AL,2016,2.0000,,07012012,06302014,2.0000,,4.5000,,N/A,,1,,8,,01012013,12312014,3.8750,
GREENE COUNTY HEALTH SYSTEM,010051,AL,2016,6.0000,,07012012,06302014,6.0000,,N/A,,N/A,,N/A,,N/A,,01012013,12312014,6.0000,
LAKE MARTIN COMMUNITY HOSPITAL,010052,AL,2016,6.0000,,07012012,06302014,6.0000,,N/A,,N/A,,N/A,,N/A,,01012013,12312014,6.0000,
