State,S_HBIPS-2_Measure_Description,S_HBIPS-2_Overall_Rate_Per_1000,S_HBIPS-2_Overall_Num,S_HBIPS-2_Overall_Den,S_HBIPS-2_1-12_Rate_Per_1000,S_HBIPS-2_1-12_Num,S_HBIPS-2_1-12_Den,S_HBIPS-2_13-17_Rate_Per_1000,S_HBIPS-2_13-17_Num,S_HBIPS-2_13-17_Den,S_HBIPS-2_18-64_Rate_Per_1000,S_HBIPS-2_18-64_Num,S_HBIPS-2_18-64_Den,S_HBIPS-2_65_Over_Rate_Per_1000,S_HBIPS-2_65_Over_Num,S_HBIPS-2_65_Over_Den,S_HBIPS-3_Measure_Description,S_HBIPS-3_Overall_Rate_Per_1000,S_HBIPS-3_Overall_Num,S_HBIPS-3_Overall_Den,S_HBIPS-3_1-12_Rate_Per_1000,S_HBIPS-3_1-12_Num,S_HBIPS-3_1-12_Den,S_HBIPS-3_13-17_Rate_Per_1000,S_HBIPS-3_13-17_Num,S_HBIPS-3_13-17_Den,S_HBIPS-3_18-64_Rate_Per_1000,S_HBIPS-3_18-64_Num,S_HBIPS-3_18-64_Den,S_HBIPS-3_65_Over_Rate_Per_1000,S_HBIPS-3_65_Over_Num,S_HBIPS-3_65_Over_Den,S_HBIPS-4_Measure_Description,S_HBIPS-4_Overall_%_of_Total,S_HBIPS-4_Overall_Num,S_HBIPS-4_Overall_Den,S_HBIPS-4_1-12_%_of_Total,S_HBIPS-4_1-12_Num,S_HBIPS-4_1-12_Den,S_HBIPS-4_13-17_%_of_Total,S_HBIPS-4_13-17_Num,S_HBIPS-4_13-17_Den,S_HBIPS-4_18-64_%_of_Total,S_HBIPS-4_18-64_Num,S_HBIPS-4_18-64_Den,S_HBIPS-4_65_Over_%_of_Total,S_HBIPS-4_65_Over_Num,S_HBIPS-4_65_Over_Den,S_HBIPS-5_Measure_Description,S_HBIPS-5_%_of_Total,S_HBIPS-5_Overall_Num,S_HBIPS-5_Overall_Den,S_HBIPS-5_1-12_%_of_Total,S_HBIPS-5_1-12_Num,S_HBIPS-5_1-12_Den,S_HBIPS-5_13-17_%_of_Total,S_HBIPS-5_13-17_Num,S_HBIPS-5_13-17_Den,S_HBIPS-5_18-64_%_of_Total,S_HBIPS-5_18-64_Num,S_HBIPS-5_18-64_Den,S_HBIPS-5_65_%_of_Total,S_HBIPS-5_65_Over_Num,S_HBIPS-5_65_Over_Den,S_HBIPS-6_Measure_Description,S_HBIPS-6_%_of_Total,S_HBIPS-6_Overall_Num,S_HBIPS-6_Overall_Den,S_HBIPS-6_1-12_%_of_Total,S_HBIPS-6_1-12_Num,S_HBIPS-6_1-12_Den,S_HBIPS-6_13-17_%_of_Total,S_HBIPS-6_13-17_Num,S_HBIPS-6_13-17_Den,S_HBIPS-6_18-64_%_of_Total,S_HBIPS-6_18-64_Num,S_HBIPS-6_18-64_Den,S_HBIPS-6_65_%_of_Total,S_HBIPS-6_65_Over_Num,S_HBIPS-6_65_Over_Den,S_HBIPS-7_Measure_Description,S_HBIPS-7_Overall_%_of_Total,S_HBIPS-7_Overall_Num,S_HBIPS-7_Overall_Den,S_HBIPS-7_1-12_%_of_Total,S_HBIPS-7_1-12_Num,S_HBIPS-7_1-12_Den,S_HBIPS-7_13-17_%_of_Total,S_HBIPS-7_13-17_Num,S_HBIPS-7_13-17_Den,S_HBIPS-7_18-64_%_of_Total,S_HBIPS-7_18-64_Num,S_HBIPS-7_18-64_Den,S_HBIPS-7_65_%_of_Total,S_HBIPS-7_65_Over_Num,S_HBIPS-7_65_Over_Den,S_SUB-1_Measure_Description,S_SUB-1_%,S_SUB-1_Numerator,S_SUB-1_Denominator,S_PEoC_Measure_Description,S_PEoC_Yes_Count,S_PEoC_No_Count,S_PEoC_Yes_%,S_PEoC_No_%,S_EHR_Use_Measure_Description,S_EHR_Paper_Count,S_EHR_Non-Certified_Count,S_EHR_Certified_Count,S_EHR_Paper_%,S_EHR_Non-Certified_%,S_EHR_Certified_%,S_HIE_Measure_Description,S_HIE_Yes_Count,S_HIE_No_Count,S_HIE_Yes_%,S_HIE_No_%,Start_Date,End_Date,S_FUH_Measure_Description,S_FUH-30_%,S_FUH-30_Numerator,S_FUH-30_Denominator,S_FUH-7_%,S_FUH-7_Numerator,S_FUH-7_Denominator,S_FUH_Measure_Start_Date,S_FUH_Measure_End_Date
"AR","Hours of physical-restraint use","0.34","2336.22","289359","0.34","253.01","30809","0.07","88.94","50967","0.17","587.43","142561","0.90","1406.84","65022","Hours of Seclusion","0.24","1682.39","289359","0.65","477.79","30809","0.22","274.74","50967","0.22","749.92","142561","0.12","179.94","65022","Patients discharged on multiple antipsychotic medications","10.35","765","7391","0.99","9","908","1.95","22","1127","20.60","551","2675","6.83","183","2681","Patients discharged on multiple antipsychotic medications with appropriate justification","38.93","197","506","44.44","4","9","50.00","10","20","36.56","117","320","42.04","66","157","Post-discharge continuing care plan created","93.38","11376","12183","98.42","1620","1646","97.96","2114","2158","94.47","3723","3941","88.31","3919","4438","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","89.86","10948","12183","96.54","1589","1646","95.37","2058","2158","91.35","3600","3941","83.39","3701","4438","Alcohol Use Screening","82.75","5479","6621","Assessment of Patient Experience of Care","16","15","51.61","48.39","Highest level typical use of an EHR system","23","0","8","74.19","0.00","25.81","Interoperable health information exchanged with HISP","10","21","32.26","67.74","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"FL","Hours of physical-restraint use","0.49","21029.09","1804453","0.48","128.5","11041","0.21","204.75","41393","0.29","10277.52","1485952","1.63","10418.32","266067","Hours of Seclusion","0.04","1977.21","1913298","0.52","138.04","11041","0.17","169.72","41393","0.04","1628.3","1581252","0.01","41.15","279612","Patients discharged on multiple antipsychotic medications","7.50","2455","32751","1.12","8","717","2.48","32","1288","8.71","2030","23295","5.17","385","7451","Patients discharged on multiple antipsychotic medications with appropriate justification","41.89","1381","3297","25.00","1","4","5.56","9","162","47.05","1163","2472","31.56","208","659","Post-discharge continuing care plan created","86.78","44057","50767","87.21","1725","1978","85.05","3038","3572","86.68","29369","33882","87.56","9925","11335","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","71.73","36331","50648","79.68","1576","1978","71.33","2548","3572","71.73","24232","33780","70.46","7975","11318","Alcohol Use Screening","79.48","29419","37014","Assessment of Patient Experience of Care","51","18","73.91","26.09","Highest level typical use of an EHR system","36","4","29","52.17","5.80","42.03","Interoperable health information exchanged with HISP","24","45","34.78","65.22","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"WY","Hours of physical-restraint use","0.12","167.72","57498","0.27","13.14","2015","0.07","8.96","5598","0.13","143.12","45285","0.02","2.5","4600","Hours of Seclusion","2.04","2811.35","57498","0.30","14.53","2015","0.07","9.94","5598","2.56","2781.25","45285","0.05","5.63","4600","Patients discharged on multiple antipsychotic medications","6.24","43","689","0.00","0","68","2.44","2","82","7.97","40","502","2.70","1","37","Patients discharged on multiple antipsychotic medications with appropriate justification","56.67","34","60","0.00","0","0","0.00","0","2","59.65","34","57","0.00","0","1","Post-discharge continuing care plan created","98.30","1734","1764","98.81","166","168","98.58","278","282","98.17","1181","1203","98.20","109","111","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","92.09","1629","1769","87.50","147","168","88.30","249","282","93.37","1126","1206","94.69","107","113","Alcohol Use Screening","59.91","647","1080","Assessment of Patient Experience of Care","6","0","100.00","0.00","Highest level typical use of an EHR system","2","0","4","33.33","0.00","66.67","Interoperable health information exchanged with HISP","2","4","33.33","66.67","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"NM","Hours of physical-restraint use","0.21","425.81","83172","0.22","27.48","5114","0.07","21.54","12239","0.09","89.62","43909","0.55","287.17","21910","Hours of Seclusion","0.18","348.62","82453","0.69","83.75","5089","0.10","28.74","12225","0.15","155.91","43107","0.15","80.22","22032","Patients discharged on multiple antipsychotic medications","5.47","165","3019","4.60","11","239","3.65","10","274","6.94","109","1570","3.74","35","936","Patients discharged on multiple antipsychotic medications with appropriate justification","56.13","87","155","100.00","11","11","91.67","11","12","54.64","53","97","34.29","12","35","Post-discharge continuing care plan created","79.20","4212","5318","87.42","389","445","81.11","614","757","80.20","2134","2661","73.88","1075","1455","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","74.18","3944","5317","80.05","305","381","72.80","546","750","74.66","1971","2640","72.57","1122","1546","Alcohol Use Screening","72.36","2442","3375","Assessment of Patient Experience of Care","11","1","91.67","8.33","Highest level typical use of an EHR system","9","1","2","75.00","8.33","16.67","Interoperable health information exchanged with HISP","4","8","33.33","66.67","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"WI","Hours of physical-restraint use","1.15","6446.83","234465","0.61","180.32","12360","1.24","1196.11","40047","1.27","4878.46","159705","0.36","191.94","22353","Hours of Seclusion","0.43","2428.21","234432","0.58","171.38","12327","0.18","173.87","40047","0.53","2038.22","159705","0.08","44.74","22353","Patients discharged on multiple antipsychotic medications","12.11","1164","9612","2.13","15","704","5.90","110","1865","15.05","926","6151","12.67","113","892","Patients discharged on multiple antipsychotic medications with appropriate justification","44.58","559","1254","57.14","8","14","19.76","33","167","46.64","437","937","59.56","81","136","Post-discharge continuing care plan created","70.35","10421","14814","78.13","811","1038","67.76","2032","2999","70.07","6568","9373","71.94","1010","1404","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","63.87","9473","14831","67.34","699","1038","59.43","1786","3005","63.96","5995","9373","70.18","993","1415","Alcohol Use Screening","71.59","6034","8429","Assessment of Patient Experience of Care","18","4","81.82","18.18","Highest level typical use of an EHR system","12","1","9","54.55","4.55","40.91","Interoperable health information exchanged with HISP","8","14","36.36","63.64","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"DE","Hours of physical-restraint use","0.04","119.39","118480","0.04","8.3","8386","0.05","21.97","19296","0.04","82.42","80746","0.03","6.7","10052","Hours of Seclusion","0.08","240.96","118480","0.08","15.14","8386","0.02","9.31","19296","0.11","216.51","80746","0.00","0","10052","Patients discharged on multiple antipsychotic medications","6.87","215","3130","0.50","1","201","3.54","15","424","8.57","183","2136","4.34","16","369","Patients discharged on multiple antipsychotic medications with appropriate justification","84.43","179","212","100.00","1","1","92.86","13","14","82.87","150","181","93.75","15","16","Post-discharge continuing care plan created","96.50","5051","5234","99.44","357","359","97.83","858","877","95.85","3258","3399","96.49","578","599","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","96.52","5052","5234","98.33","353","359","95.44","837","877","96.73","3288","3399","95.83","574","599","Alcohol Use Screening","92.78","3481","3752","Assessment of Patient Experience of Care","5","0","100.00","0.00","Highest level typical use of an EHR system","4","0","1","80.00","0.00","20.00","Interoperable health information exchanged with HISP","1","4","20.00","80.00","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"ND","Hours of physical-restraint use","0.96","2122.72","92496","0.20","25.11","5135","0.12","37.44","12610","1.37","2059.48","62578","0.00",".69","12173","Hours of Seclusion","2.72","6035.46","92613","1.34","165.18","5141","0.26","77.52","12631","3.84","5782.38","62662","0.04","10.38","12179","Patients discharged on multiple antipsychotic medications","9.86","280","2841","3.95","12","304","3.06","13","425","11.68","204","1746","13.93","51","366","Patients discharged on multiple antipsychotic medications with appropriate justification","53.78","128","238","91.67","11","12","100.00","11","11","45.24","76","168","63.83","30","47","Post-discharge continuing care plan created","90.10","4806","5334","98.52","533","541","94.52","949","1004","88.77","2916","3285","80.95","408","504","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","81.85","4366","5334","88.91","481","541","83.86","842","1004","81.74","2685","3285","71.03","358","504","Alcohol Use Screening","87.09","2328","2673","Assessment of Patient Experience of Care","4","4","50.00","50.00","Highest level typical use of an EHR system","2","2","4","25.00","25.00","50.00","Interoperable health information exchanged with HISP","2","6","25.00","75.00","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"NE","Hours of physical-restraint use","0.24","305.03","52902","0.00","0","108","0.04","2.32","2548","0.25","257.41","42163","0.23","45.3","8083","Hours of Seclusion","0.22","279.66","52849","0.00","0","108","0.03","2","2548","0.26","263.24","42163","0.07","14.42","8030","Patients discharged on multiple antipsychotic medications","12.26","334","2724","0.00","0","12","2.02","2","99","13.12","292","2225","10.31","40","388","Patients discharged on multiple antipsychotic medications with appropriate justification","84.71","216","255","0.00","0","0","100.00","1","1","86.64","188","217","72.97","27","37","Post-discharge continuing care plan created","89.56","3476","3881","85.19","23","27","92.55","261","282","89.59","2667","2977","88.24","525","595","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","86.70","3365","3881","85.19","23","27","91.13","257","282","86.16","2565","2977","87.39","520","595","Alcohol Use Screening","89.21","2670","2993","Assessment of Patient Experience of Care","8","1","88.89","11.11","Highest level typical use of an EHR system","6","0","3","66.67","0.00","33.33","Interoperable health information exchanged with HISP","2","7","22.22","77.78","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"VA","Hours of physical-restraint use","0.51","6024.01","490018","0.30","67.13","9215","0.05","42.25","34173","0.57","5353.61","389384","0.41","561.02","57246","Hours of Seclusion","0.31","3612.03","490012","0.27","59.01","9215","0.08","64.19","34173","0.36","3381.56","389378","0.08","107.27","57246","Patients discharged on multiple antipsychotic medications","8.23","911","11071","1.32","7","530","0.63","4","639","9.70","778","8018","6.48","122","1884","Patients discharged on multiple antipsychotic medications with appropriate justification","68.85","568","825","85.71","6","7","100.00","3","3","71.04","498","701","53.51","61","114","Post-discharge continuing care plan created","83.75","15694","18739","89.40","843","943","93.24","1296","1390","83.44","11199","13422","78.95","2356","2984","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","79.87","14944","18711","88.55","835","943","91.22","1268","1390","79.18","10599","13386","74.93","2242","2992","Alcohol Use Screening","83.70","12980","15508","Assessment of Patient Experience of Care","23","13","63.89","36.11","Highest level typical use of an EHR system","19","0","17","52.78","0.00","47.22","Interoperable health information exchanged with HISP","17","19","47.22","52.78","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"LA","Hours of physical-restraint use","0.12","2510.02","905472","0.05","18.94","17102","0.05","55.02","45646","0.13","2322.01","718480","0.04","114.05","124244","Hours of Seclusion","0.08","1682.04","906526","0.23","96.24","17102","0.11","123.96","45646","0.08","1416.83","718534","0.01","45.01","125244","Patients discharged on multiple antipsychotic medications","13.70","3272","23880","1.15","5","436","2.53","22","868","16.50","2690","16302","8.85","555","6274","Patients discharged on multiple antipsychotic medications with appropriate justification","67.25","2429","3612","60.00","3","5","33.33","7","21","68.34","2044","2991","63.03","375","595","Post-discharge continuing care plan created","88.71","28990","32680","81.88","786","960","85.63","1930","2254","91.63","19515","21298","82.75","6759","8168","Post-discharge continuing care plan transmitted to the next level of care provider upon discharge","80.78","27606","34174","80.21","770","960","84.56","1906","2254","80.81","18418","22793","79.74","6512","8167","Alcohol Use Screening","62.38","18744","30047","Assessment of Patient Experience of Care","48","24","66.67","33.33","Highest level typical use of an EHR system","59","1","12","81.94","1.39","16.67","Interoperable health information exchanged with HISP","12","60","16.67","83.33","01/01/2014","12/31/2014","Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
