"State","Measure Name","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"AK","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.526","","01/01/2015","12/31/2015"
"AL","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.820","","01/01/2015","12/31/2015"
"AR","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.662","","01/01/2015","12/31/2015"
"AS","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","13 - Results cannot be calculated for this reporting period.","01/01/2015","12/31/2015"
"AZ","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.548","","01/01/2015","12/31/2015"
"CA","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.555","","01/01/2015","12/31/2015"
"CO","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.504","","01/01/2015","12/31/2015"
"CT","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.694","","01/01/2015","12/31/2015"
"DC","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.738","","01/01/2015","12/31/2015"
"DE","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.516","","01/01/2015","12/31/2015"
"FL","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.608","","01/01/2015","12/31/2015"
"GA","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.665","","01/01/2015","12/31/2015"
"GU","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","5 - Results are not available for this reporting period.","01/01/2015","12/31/2015"
"HI","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.178","","01/01/2015","12/31/2015"
"IA","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.511","","01/01/2015","12/31/2015"
"ID","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.383","","01/01/2015","12/31/2015"
"IL","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.505","","01/01/2015","12/31/2015"
"IN","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.630","","01/01/2015","12/31/2015"
"KS","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.447","","01/01/2015","12/31/2015"
"KY","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","0.623","","01/01/2015","12/31/2015"
