Provider_ID,Hospital_Name,Measure_ID,Gastrointestinal,Eye,Nervous System,Musculoskeletal,Skin,Genitourinary,Cardiovascular,Respiratory,Other,Footnote,Start_Date,End_Date
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","OP-26","4150","14","527","964","5116","825","1000","182","117","","01/01/2014","12/31/2014"
"010005","MARSHALL MEDICAL CENTERS","OP-26","4634","87","494","568","1305","101","185","62","48","","01/01/2014","12/31/2014"
"010006","ELIZA COFFEE MEMORIAL HOSPITAL","OP-26","5402","0","76","165","62","234","381","45","54","","01/01/2014","12/31/2014"
"010007","MIZELL MEMORIAL HOSPITAL","OP-26","365","99","10","24","40","112","22","0","34","","01/01/2014","12/31/2014"
"010008","CRENSHAW COMMUNITY HOSPITAL","OP-26","240","0","0","0","22","0","0","0","0","","01/01/2014","12/31/2014"
"010011","ST. VINCENT'S EAST","OP-26","62","164","2251","1115","313","709","4366","364","4071","","01/01/2014","12/31/2014"
"010012","DEKALB REGIONAL MEDICAL CENTER","OP-26","325","80","286","42","171","270","69","6","29","","01/01/2014","12/31/2014"
"010016","SHELBY BAPTIST MEDICAL CENTER","OP-26","2918","0","72","1262","1764","486","216","29","182","","01/01/2014","12/31/2014"
"010018","CALLAHAN EYE HOSPITAL","OP-26","0","6084","0","0","301","0","0","0","0","","01/01/2014","12/31/2014"
"010019","HELEN KELLER HOSPITAL","OP-26","4685","478","212","219","127","230","147","19","42","","01/01/2014","12/31/2014"
"010021","DALE MEDICAL CENTER","OP-26","618","0","139","143","58","13","10","9","2","","01/01/2014","12/31/2014"
"010022","CHEROKEE MEDICAL CENTER","OP-26","621","149","99","0","11","2","2","0","0","","01/01/2014","12/31/2014"
"010023","BAPTIST MEDICAL CENTER SOUTH","OP-26","12","1","8","9","11","18","108","12","24","","01/01/2014","12/31/2014"
"010024","JACKSON HOSPITAL & CLINIC INC","OP-26","1441","54","171","529","106","606","591","5","48","","01/01/2014","12/31/2014"
"010029","EAST ALABAMA MEDICAL CENTER AND SNF","OP-26","2504","1119","246","1018","98","518","1835","2","45","","01/01/2014","12/31/2014"
"010032","WEDOWEE HOSPITAL","OP-26","65","0","0","0","0","0","0","0","0","","01/01/2014","12/31/2014"
"010033","UNIVERSITY OF ALABAMA HOSPITAL","OP-26","6182","0","223","1454","13536","3257","3184","0","1582","","01/01/2014","12/31/2014"
"010034","COMMUNITY HOSPITAL INC","OP-26","715","67","28","44","11","4","10","1","0","","01/01/2014","12/31/2014"
"010035","CULLMAN REGIONAL MEDICAL CENTER","OP-26","1775","1115","1605","781","1639","492","80","71","1","","01/01/2014","12/31/2014"
"010036","ANDALUSIA REGIONAL HOSPITAL","OP-26","1289","149","166","254","1976","177","138","40","11","","01/01/2014","12/31/2014"
"010038","STRINGFELLOW MEMORIAL HOSPITAL","OP-26","2237","103","54","245","75","31","103","46","6","","01/01/2014","12/31/2014"
"010039","HUNTSVILLE HOSPITAL","OP-26","17169","1234","45064","16020","13007","6686","3098","2033","0","","01/01/2014","12/31/2014"
"010040","GADSDEN REGIONAL MEDICAL CENTER","OP-26","2487","0","787","581","83","268","258","49","72","","01/01/2014","12/31/2014"
"010044","MARION REGIONAL MEDICAL CENTER","OP-26","0","0","0","0","0","0","0","0","0","","01/01/2014","12/31/2014"
"010045","FAYETTE MEDICAL CENTER","OP-26","756","213","11","12","59","19","33","0","18","","01/01/2014","12/31/2014"
"010046","RIVERVIEW REGIONAL MEDICAL CENTER","OP-26","1965","0","0","0","0","0","0","0","0","","01/01/2014","12/31/2014"
"010047","GEORGIANA MEDICAL CENTER","OP-26","0","0","0","0","0","0","0","0","0","","01/01/2014","12/31/2014"
"010049","MEDICAL CENTER ENTERPRISE","OP-26","1815","0","57","306","106","229","41","4","50","","01/01/2014","12/31/2014"
"010051","GREENE COUNTY HOSPITAL","OP-26","0","0","0","0","0","0","0","0","0","","01/01/2014","12/31/2014"
"010052","LAKE MARTIN COMMUNITY HOSPITAL","OP-26","0","0","0","0","0","0","0","0","0","","01/01/2014","12/31/2014"
"010055","FLOWERS HOSPITAL","OP-26","4319","7","1636","956","1117","1076","1260","272","68","","01/01/2014","12/31/2014"
"010056","ST VINCENT'S BIRMINGHAM","OP-26","12709","0","11523","5464","766","739","599","206","283","","01/01/2014","12/31/2014"
"010058","BIBB MEDICAL CENTER","OP-26","0","0","0","0","0","0","0","0","0","","01/01/2014","12/31/2014"
"010059","LAWRENCE MEDICAL CENTER","OP-26","469","0","0","84","439","0","0","0","1","","01/01/2014","12/31/2014"
"010061","HIGHLANDS MEDICAL CENTER","OP-26","1217","143","113","45","42","126","28","0","1","","01/01/2014","12/31/2014"
"010062","WIREGRASS MEDICAL CENTER","OP-26","563","0","0","0","71","0","0","6","350","","01/01/2014","12/31/2014"
"010065","RUSSELL HOSPITAL","OP-26","1958","658","309","308","62","313","140","72","14","","01/01/2014","12/31/2014"
"010069","MEDICAL CENTER BARBOUR","OP-26","480","2","0","0","74","60","0","0","64","","01/01/2014","12/31/2014"
"010073","CLAY COUNTY HOSPITAL","OP-26","342","121","0","0","8","0","2","3","1","","01/01/2014","12/31/2014"
"010078","NORTHEAST ALABAMA REGIONAL MED CENTER","OP-26","1542","669","485","325","737","1249","505","69","67","","01/01/2014","12/31/2014"
"010079","ATHENS-LIMESTONE HOSPITAL","OP-26","1928","347","383","583","128","230","54","13","24","","01/01/2014","12/31/2014"
"010083","SOUTH BALDWIN REGIONAL MEDICAL CENTER","OP-26","3766","277","865","1614","2773","552","170","0","0","","01/01/2014","12/31/2014"
"010085","DECATUR MORGAN HOSPITAL - DECATUR CAMPUS","OP-26","1240","23","140","1076","2402","2060","336","191","0","","01/01/2014","12/31/2014"
"010086","NORTHWEST MEDICAL CENTER","OP-26","870","297","20","77","39","221","86","11","14","","01/01/2014","12/31/2014"
"010087","UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER","OP-26","2653","0","329","227","105","0","203","34","27","","01/01/2014","12/31/2014"
"010089","WALKER BAPTIST MEDICAL CENTER","OP-26","3273","1068","3628","698","16","431","95","1","88","","01/01/2014","12/31/2014"
"010090","PROVIDENCE HOSPITAL","OP-26","7003","1324","1848","661","270","700","209","71","123","","01/01/2014","12/31/2014"
"010091","GROVE HILL MEMORIAL HOSPITAL","OP-26","976","0","0","0","0","0","0","0","0","","01/01/2014","12/31/2014"
"010092","D C H REGIONAL MEDICAL CENTER","OP-26","3182","100","1436","1987","7021","1066","2177","377","202","","01/01/2014","12/31/2014"
"010095","HALE COUNTY HOSPITAL","OP-26","0","0","0","0","0","0","0","0","0","","01/01/2014","12/31/2014"
