Provider_Number,Hospital_Name,Address,City,State,ZIP_Code,County_Name,IMM-2 Performance Rate,IMM-2 Achievement Points,IMM-2 Improvement Points,IMM-2 Measure Score,Preventive Condition/Procedure Score
"060119","MEDICAL CENTER OF THE ROCKIES","2500 ROCKY MOUNTAIN AVENUE","Loveland","CO","80538","LARIMER","0.91538","2 out of 10","7 out of 9","7 out of 10","7"
"330332","ST JOSEPH HOSPITAL","4295 HEMPSTEAD TURNPIKE","Bethpage","NY","11714","NASSAU","0.89249","0 out of 10","0 out of 9","0 out of 10","0"
"100230","MEMORIAL HOSPITAL PEMBROKE","7800 SHERIDAN ST","Pembroke Pines","FL","33024","BROWARD","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"330304","WHITE PLAINS HOSPITAL CENTER","41 EAST POST R0AD","White Plains","NY","10601","WESTCHESTER","1.00000","10 out of 10","9 out of 9","10 out of 10","10"
"330279","MERCY HOSPITAL OF BUFFALO","565 ABBOTT ROAD","Buffalo","NY","14220","ERIE","0.94667","5 out of 10","3 out of 9","5 out of 10","5"
"520078","WHEATON FRANCISCAN HEALTHCARE ST FRANCIS","3237 S 16TH ST","Milwaukee","WI","53215","MILWAUKEE","0.95725","6 out of 10","6 out of 9","6 out of 10","6"
"190204","OCHSNER MEDICAL CENTER - NORTHSHORE, L L C","100 MEDICAL CENTER DRIVE","Slidell","LA","70461","ST. TAMMANY","0.91237","1 out of 10","6 out of 9","6 out of 10","6"
"190006","UNIVERSITY HOSPITAL & CLINICS","2390 WEST CONGRESS","Lafayette","LA","70506","LAFAYETTE","0.87960","0 out of 10","4 out of 9","4 out of 10","4"
"330393","UNIVERSITY HOSPITAL ( STONY BROOK )","HEALTH SCIENCES CENTER SUNY","Stony Brook","NY","11794","SUFFOLK","0.94922","5 out of 10","3 out of 9","5 out of 10","5"
"050714","SUTTER MATERNITY & SURGERY CENTER OF SANTA CRUZ","2900 CHANTICLEER AVENUE","Santa Cruz","CA","95065","SANTA CRUZ","0.98969","10 out of 10","9 out of 9","10 out of 10","10"
"170176","OVERLAND PARK REG MED CTR","10500 QUIVIRA ROAD","Overland Park","KS","66215","JOHNSON","0.99799","10 out of 10","9 out of 9","10 out of 10","10"
"360145","UNIVERSITY HOSPITALS - ELYRIA MEDICAL CENTER","630 EAST RIVER STREET","Elyria","OH","44035","LORAIN","0.94108","4 out of 10","6 out of 9","6 out of 10","6"
"150084","ST VINCENT HOSPITAL & HEALTH SERVICES","2001 W 86TH ST","Indianapolis","IN","46260","MARION","0.92989","3 out of 10","7 out of 9","7 out of 10","7"
"360355","OHIO VALLEY MEDICAL CENTER, LLC","100 WEST MAIN STREET","Springfield","OH","45502","CLARK","0.96503","7 out of 10","5 out of 9","7 out of 10","7"
"330057","ST PETER'S HOSPITAL","315 SOUTH MANNING BOULEVARD","Albany","NY","12208","ALBANY","0.95933","6 out of 10","8 out of 9","8 out of 10","8"
"120022","STRAUB CLINIC AND HOSPITAL","888 SO KING STREET","Honolulu","HI","96813","HONOLULU","0.94561","5 out of 10","3 out of 9","5 out of 10","5"
"380009","OHSU HOSPITAL AND CLINICS","3181 SW SAM JACKSON PARK ROAD","Portland","OR","97239","MULTNOMAH","0.89788","0 out of 10","5 out of 9","5 out of 10","5"
"330107","PECONIC BAY MEDICAL CENTER","1300 ROANOKE AVENUE","Riverhead","NY","11901","SUFFOLK","0.94158","4 out of 10","6 out of 9","6 out of 10","6"
"310048","ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL SOMERSET","110 REHILL AVE","Somerville","NJ","08876","SOMERSET","0.93576","4 out of 10","6 out of 9","6 out of 10","6"
