Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,MORT-30-AMI Performance Rate,MORT-30-AMI Achievement Points,MORT-30-AMI Improvement Points,MORT-30-AMI Measure Score,MORT-30-HF Performance Rate,MORT-30-HF Achievement Points,MORT-30-HF Improvement Points,MORT-30-HF Measure Score,MORT-30-PN Performance Rate,MORT-30-PN Achievement Points,MORT-30-PN Improvement Points,MORT-30-PN Measure Score,PSI-90 Performance Rate,PSI-90 Achievement Points,PSI-90 Improvement Points,PSI-90 Measure Score,HAI-1_Performance_Rate,HAI-1 Achievement Points,HAI-1 Improvement Points,HAI-1 Measure Score,HAI-2 Performance Rate,HAI-2 Achievement Points,HAI-2 Improvement Points,HAI-2 Measure Score,Combined SSI Measure Score,HAI-3 Performance Rate,HAI-3 Achievement Points,HAI-3 Improvement Points,HAI-3 Measure Score,HAI-4 Performance Rate,HAI-4 Achievement Points,HAI-4 Improvement Points,HAI-4 Measure Score
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","Dothan","AL","36301","HOUSTON","0.885573","10 out of 10","9 out of 9","10 out of 10","0.872420","0 out of 10","0 out of 9","0 out of 10","0.891265","4 out of 10","2 out of 9","4 out of 10","0.414510","10 out of 10","9 out of 9","10 out of 10","2.952","0 out of 10","0 out of 9","0 out of 10","3.645","0 out of 10","0 out of 9","0 out of 10","5 out of 10","0.664","1 out of 10","5 out of 9","5 out of 10","Not Available","Not Available","Not Available","Not Available"
"010005","MARSHALL MEDICAL CENTER SOUTH","2505 U S HIGHWAY 431 NORTH","Boaz","AL","35957","MARSHALL","0.850673","2 out of 10","Not Available","2 out of 10","0.858219","0 out of 10","0 out of 9","0 out of 10","0.871989","0 out of 10","1 out of 9","1 out of 10","0.459292","9 out of 10","9 out of 9","9 out of 10","3.063","0 out of 10","0 out of 9","0 out of 10","0.522","4 out of 10","0 out of 9","4 out of 10","7 out of 10","0.325","5 out of 10","7 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available"
"010006","ELIZA COFFEE MEMORIAL HOSPITAL","205 MARENGO STREET","Florence","AL","35631","LAUDERDALE","0.831902","0 out of 10","1 out of 9","1 out of 10","0.848089","0 out of 10","0 out of 9","0 out of 10","0.878160","0 out of 10","4 out of 9","4 out of 10","0.561944","3 out of 10","7 out of 9","7 out of 10","0.233","5 out of 10","5 out of 9","5 out of 10","0.179","7 out of 10","4 out of 9","7 out of 10","0 out of 10","1.905","0 out of 10","0 out of 9","0 out of 10","0.852","0 out of 10","Not Available","0 out of 10"
"010007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","Opp","AL","36467","COVINGTON","0.862530","Not Available","Not Available","Not Available","0.864182","0 out of 10","0 out of 9","0 out of 10","0.877683","0 out of 10","5 out of 9","5 out of 10","0.411722","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","Luverne","AL","36049","CRENSHAW","0.856884","Not Available","Not Available","Not Available","0.882882","Not Available","Not Available","Not Available","0.887636","3 out of 10","Not Available","3 out of 10","0.473612","8 out of 10","8 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010011","ST VINCENT'S EAST","50 MEDICAL PARK EAST DRIVE","Birmingham","AL","35235","JEFFERSON","0.875570","10 out of 10","9 out of 9","10 out of 10","0.873947","0 out of 10","0 out of 9","0 out of 10","0.857396","0 out of 10","4 out of 9","4 out of 10","0.465977","9 out of 10","9 out of 9","9 out of 10","0.466","0 out of 10","4 out of 9","4 out of 10","0.567","3 out of 10","0 out of 9","3 out of 10","1 out of 10","0.649","1 out of 10","0 out of 9","1 out of 10","1.596","0 out of 10","0 out of 9","0 out of 10"
"010012","DEKALB REGIONAL MEDICAL CENTER","200 MED CENTER DRIVE","Fort Payne","AL","35968","DE KALB","0.827998","0 out of 10","Not Available","0 out of 10","0.883009","1 out of 10","1 out of 9","1 out of 10","0.839909","0 out of 10","2 out of 9","2 out of 10","0.623744","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available","0.000","10 out of 10","0 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"010016","SHELBY BAPTIST MEDICAL CENTER","1000 FIRST STREET NORTH","Alabaster","AL","35007","SHELBY","0.866376","10 out of 10","9 out of 9","10 out of 10","0.870559","0 out of 10","0 out of 9","0 out of 10","0.895903","6 out of 10","7 out of 9","7 out of 10","0.315606","10 out of 10","9 out of 9","10 out of 10","0.436","1 out of 10","0 out of 9","1 out of 10","0.649","2 out of 10","0 out of 9","2 out of 10","7 out of 10","0.489","3 out of 10","7 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available"
"010019","HELEN KELLER MEMORIAL HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","Sheffield","AL","35660","COLBERT","0.851838","Not Available","Not Available","Not Available","0.879300","0 out of 10","0 out of 9","0 out of 10","0.869263","0 out of 10","0 out of 9","0 out of 10","0.429544","10 out of 10","9 out of 9","10 out of 10","0.000","10 out of 10","Not Available","10 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10","4 out of 10","0.443","4 out of 10","0 out of 9","4 out of 10","Not Available","Not Available","Not Available","Not Available"
"010021","DALE MEDICAL CENTER","126 HOSPITAL AVE","Ozark","AL","36360","DALE","0.864776","Not Available","Not Available","Not Available","0.885168","2 out of 10","Not Available","2 out of 10","0.894916","6 out of 10","6 out of 9","6 out of 10","0.572086","3 out of 10","1 out of 9","3 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
