Provider Number,Hospital Name,Address,City,State,Zip Code,County Name,Unweighted Normalized Clinical Process of Care Domain Score,Weighted Clinical Process of Care Domain Score,Unweighted Patient Experience of Care Domain Score,Weighted Patient Experience of Care Domain Score,Unweighted Normalized Outcome Domain Score,Weighted Outcome Domain Score,Unweighted Normalized Efficiency Domain Score,Weighted Efficiency Domain Score,Total Performance Score
"230002","ST MARY MERCY HOSPITAL","36475 FIVE MILE ROAD","Livonia","MI","48154","WAYNE","71.428571428571","07.142857142857","40.000000000000","10.000000000000","57.142857142857","22.857142857143","10.000000000000","02.500000000000","42.500000000000"
"230015","THREE RIVERS HEALTH","701 S HEALTH PARKWAY","Three Rivers","MI","49093","ST. JOSEPH","16.666666666667","01.666666666667","35.000000000000","08.750000000000","30.000000000000","12.000000000000","00.000000000000","00.000000000000","22.416666666667"
"230081","MUNSON HEALTHCARE CADILLAC HOSPITAL","400 HOBART ST","Cadillac","MI","49601","WEXFORD","58.571428571429","05.857142857143","64.000000000000","16.000000000000","70.000000000000","28.000000000000","60.000000000000","15.000000000000","64.857142857143"
"230100","TAWAS ST JOSEPH HOSPITAL","200 HEMLOCK","Tawas City","MI","48764","IOSCO","47.142857142857","04.714285714286","42.000000000000","10.500000000000","36.666666666667","14.666666666667","60.000000000000","15.000000000000","44.880952380952"
"230105","MCLAREN - NORTHERN MICHIGAN","416 CONNABLE AVE","Petoskey","MI","49770","EMMET","38.571428571429","03.857142857143","36.000000000000","09.000000000000","45.714285714286","18.285714285714","20.000000000000","05.000000000000","36.142857142857"
"230167","MCLAREN GREATER LANSING","401 W GREENLAWN AVE","Lansing","MI","48910","INGHAM","58.571428571429","05.857142857143","28.000000000000","07.000000000000","34.285714285714","13.714285714286","40.000000000000","10.000000000000","36.571428571429"
"290008","NORTHEASTERN NEVADA REGIONAL HOSPITAL","2001 ERRECART BLVD","Elko","NV","89801","ELKO","30.000000000000","03.000000000000","14.000000000000","03.500000000000","60.000000000000","24.000000000000","10.000000000000","02.500000000000","33.000000000000"
"270012","BENEFIS HOSPITALS INC","1101 26TH ST S","Great Falls","MT","59405","CASCADE","64.285714285714","06.428571428571","14.000000000000","03.500000000000","44.285714285714","17.714285714286","10.000000000000","02.500000000000","30.142857142857"
"240207","FAIRVIEW RIDGES HOSPITAL","201 EAST NICOLLET BOULEVARD","Burnsville","MN","55337","DAKOTA","70.000000000000","07.000000000000","32.000000000000","08.000000000000","31.428571428571","12.571428571429","60.000000000000","15.000000000000","42.571428571429"
"250007","MERIT HEALTH BILOXI","150 REYNOIR STREET","Biloxi","MS","39530","HARRISON","75.714285714286","07.571428571429","15.000000000000","03.750000000000","75.714285714286","30.285714285714","20.000000000000","05.000000000000","46.607142857143"
"250025","MERIT HEALTH GILMORE MEMORIAL","1105 EARL FRYE BLVD","Amory","MS","38821","MONROE","40.000000000000","04.000000000000","70.000000000000","17.500000000000","48.000000000000","19.200000000000","20.000000000000","05.000000000000","45.700000000000"
"290019","CARSON TAHOE REGIONAL MEDICAL CENTER","1600 MEDICAL PARKWAY","Carson City","NV","89703","CARSON CITY","44.285714285714","04.428571428571","22.000000000000","05.500000000000","41.428571428571","16.571428571429","20.000000000000","05.000000000000","31.500000000000"
"290045","ST ROSE DOMINICAN HOSPITALS - SIENA CAMPUS","3001 ST ROSE PARKWAY","Henderson","NV","89052","CLARK","52.857142857143","05.285714285714","35.000000000000","08.750000000000","20.000000000000","08.000000000000","00.000000000000","00.000000000000","22.035714285714"
"300017","PARKLAND MEDICAL CENTER","1 PARKLAND DRIVE","Derry","NH","03038","ROCKINGHAM","94.285714285714","09.428571428571","47.000000000000","11.750000000000","84.285714285714","33.714285714286","20.000000000000","05.000000000000","59.892857142857"
"300020","SOUTHERN NH MEDICAL CENTER","8 PROSPECT STREET","Nashua","NH","03060","HILLSBOROUGH","58.571428571429","05.857142857143","37.000000000000","09.250000000000","48.571428571429","19.428571428571","10.000000000000","02.500000000000","37.035714285714"
"310002","NEWARK BETH ISRAEL MEDICAL CENTER","201 LYONS AVE","Newark","NJ","07112","ESSEX","25.714285714286","02.571428571429","15.000000000000","03.750000000000","51.428571428571","20.571428571429","00.000000000000","00.000000000000","26.892857142857"
"310005","HUNTERDON MEDICAL CENTER","2100 WESCOTT DRIVE","Flemington","NJ","08822","HUNTERDON","71.428571428571","07.142857142857","26.000000000000","06.500000000000","50.000000000000","20.000000000000","00.000000000000","00.000000000000","33.642857142857"
"310012","VALLEY HOSPITAL","223 N VAN DIEN AVENUE","Ridgewood","NJ","07450","BERGEN","70.000000000000","07.000000000000","46.000000000000","11.500000000000","45.714285714286","18.285714285714","00.000000000000","00.000000000000","36.785714285714"
"310060","ST LUKE'S WARREN HOSPITAL","185 ROSEBERRY ST","Phillipsburg","NJ","08865","WARREN","92.857142857143","09.285714285714","26.000000000000","06.500000000000","35.000000000000","14.000000000000","30.000000000000","07.500000000000","37.285714285714"
"310069","INSPIRA MEDICAL CENTER ELMER","501 WEST FRONT STREET, POST OFFICE BOX  1090","Elmer","NJ","08318","SALEM","77.142857142857","07.714285714286","45.000000000000","11.250000000000","40.000000000000","16.000000000000","00.000000000000","00.000000000000","34.964285714286"
"310070","SAINT PETER'S UNIVERSITY HOSPITAL","254 EASTON AVE","New Brunswick","NJ","08901","MIDDLESEX","72.857142857143","07.285714285714","47.000000000000","11.750000000000","37.142857142857","14.857142857143","00.000000000000","00.000000000000","33.892857142857"
"310074","JERSEY CITY MEDICAL CENTER","355 GRAND STREET","Jersey City","NJ","07302","HUDSON","95.714285714286","09.571428571429","20.000000000000","05.000000000000","81.428571428571","32.571428571429","10.000000000000","02.500000000000","49.642857142857"
"310086","KENNEDY UNIVERSITY HOSPITAL - STRATFORD DIV","18 EAST LAUREL ROAD","Stratford","NJ","08084","CAMDEN","57.142857142857","05.714285714286","40.000000000000","10.000000000000","51.428571428571","20.571428571429","00.000000000000","00.000000000000","36.285714285714"
"280040","METHODIST HOSPITAL","8303 DODGE ST","Omaha","NE","68114","DOUGLAS","47.142857142857","04.714285714286","51.000000000000","12.750000000000","34.285714285714","13.714285714286","00.000000000000","00.000000000000","31.178571428571"
"230277","HURON VALLEY-SINAI HOSPITAL","ONE WILLIAM CARLS DRIVE","Commerce","MI","48382","OAKLAND","70.000000000000","07.000000000000","35.000000000000","08.750000000000","55.714285714286","22.285714285714","00.000000000000","00.000000000000","38.035714285714"
"240020","CAMBRIDGE MEDICAL CENTER","701 SOUTH DELLWOOD AVENUE","Cambridge","MN","55008","ISANTI","92.857142857143","09.285714285714","64.000000000000","16.000000000000","40.000000000000","16.000000000000","100.000000000000","25.000000000000","66.285714285714"
"240022","SANFORD WORTHINGTON MEDICAL CENTER","1018 SIXTH AVENUE PO BOX 997","Worthington","MN","56187","NOBLES","85.714285714286","08.571428571429","30.000000000000","07.500000000000","73.333333333333","29.333333333333","90.000000000000","22.500000000000","67.904761904762"
"250067","CLAY COUNTY MEDICAL CENTER","835 MEDICAL CENTER DR","West Point","MS","39773","CLAY","65.000000000000","06.500000000000","64.000000000000","16.000000000000","60.000000000000","24.000000000000","10.000000000000","02.500000000000","49.000000000000"
"250094","MERIT HEALTH WESLEY","5001 W HARDY ST","Hattiesburg","MS","39402","FORREST","85.714285714286","08.571428571429","49.000000000000","12.250000000000","63.333333333333","25.333333333333","00.000000000000","00.000000000000","46.154761904762"
"260001","MERCY HOSPITAL JOPLIN","100 MERCY WAY","Joplin","MO","64804","JASPER","44.285714285714","04.428571428571","36.000000000000","09.000000000000","44.285714285714","17.714285714286","10.000000000000","02.500000000000","33.642857142857"
"260005","SSM HEALTH ST JOSEPH HOSPITAL-ST CHARLES","300 1ST CAPITOL DR","Saint Charles","MO","63301","ST. CHARLES","42.857142857143","04.285714285714","41.000000000000","10.250000000000","35.714285714286","14.285714285714","00.000000000000","00.000000000000","28.821428571429"
